Using dataset of 200 samples for training.
✅ Found 200 pairs out of 200 listed in CSV.
Using cpu device
Logging to runs/601mft6k/PPO_1
---------------------------------
| rollout/           |          |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.0414      |
|    learning_rate        | 0.0003      |
|    loss                 | 11          |
|    n_updates            | 4380        |
|    policy_gradient_loss | 0.00447     |
|    value_loss           | 22.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23.2        |
| time/                   |              |
|    fps                  | 605          |
|    iterations           | 440          |
|    time_elapsed         | 1488         |
|    total_timesteps      | 901120       |
| train/                  |              |
|    approx_kl            | 0.0017308779 |
|    clip_fraction        | 0.0485       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.0319       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.9         |
|    n_updates            | 4390         |
|    policy_gradient_loss | 0.00178      |
|    value_loss           | 24           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.7       |
| time/                   |             |
|    fps                  | 605         |
|    iterations           | 441         |
|    time_elapsed         | 1491        |
|    total_timesteps      | 903168      |
| train/                  |             |
|    approx_kl            | 0.004059542 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0219      |
|    learning_rate        | 0.0003      |
|    loss                 | 13          |
|    n_updates            | 4400        |
|    policy_gradient_loss | 0.00288     |
|    value_loss           | 24.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23.1        |
| time/                   |              |
|    fps                  | 605          |
|    iterations           | 442          |
|    time_elapsed         | 1494         |
|    total_timesteps      | 905216       |
| train/                  |              |
|    approx_kl            | 0.0058784736 |
|    clip_fraction        | 0.0689       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.0557       |
|    learning_rate        | 0.0003       |
|    loss                 | 10.8         |
|    n_updates            | 4410         |
|    policy_gradient_loss | 0.000761     |
|    value_loss           | 20.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23         |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 443         |
|    time_elapsed         | 1500        |
|    total_timesteps      | 907264      |
| train/                  |             |
|    approx_kl            | 0.008407822 |
|    clip_fraction        | 0.0873      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.0407      |
|    learning_rate        | 0.0003      |
|    loss                 | 11          |
|    n_updates            | 4420        |
|    policy_gradient_loss | -0.00418    |
|    value_loss           | 21.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23         |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 444         |
|    time_elapsed         | 1503        |
|    total_timesteps      | 909312      |
| train/                  |             |
|    approx_kl            | 0.013076609 |
|    clip_fraction        | 0.235       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.0464      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.8        |
|    n_updates            | 4430        |
|    policy_gradient_loss | 0.00775     |
|    value_loss           | 23          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.9        |
| time/                   |              |
|    fps                  | 604          |
|    iterations           | 445          |
|    time_elapsed         | 1506         |
|    total_timesteps      | 911360       |
| train/                  |              |
|    approx_kl            | 0.0050723725 |
|    clip_fraction        | 0.111        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.0481       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.8         |
|    n_updates            | 4440         |
|    policy_gradient_loss | 0.000233     |
|    value_loss           | 25.9         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.7       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 446         |
|    time_elapsed         | 1510        |
|    total_timesteps      | 913408      |
| train/                  |             |
|    approx_kl            | 0.011952234 |
|    clip_fraction        | 0.0839      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0352      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.9        |
|    n_updates            | 4450        |
|    policy_gradient_loss | -0.000506   |
|    value_loss           | 24.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -24.5       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 447         |
|    time_elapsed         | 1513        |
|    total_timesteps      | 915456      |
| train/                  |             |
|    approx_kl            | 0.011489288 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0396      |
|    learning_rate        | 0.0003      |
|    loss                 | 13.2        |
|    n_updates            | 4460        |
|    policy_gradient_loss | -0.000738   |
|    value_loss           | 26.2        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -24.1        |
| time/                   |              |
|    fps                  | 604          |
|    iterations           | 448          |
|    time_elapsed         | 1517         |
|    total_timesteps      | 917504       |
| train/                  |              |
|    approx_kl            | 0.0063207643 |
|    clip_fraction        | 0.116        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.0344       |
|    learning_rate        | 0.0003       |
|    loss                 | 13.4         |
|    n_updates            | 4470         |
|    policy_gradient_loss | -0.0027      |
|    value_loss           | 26.8         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23.5        |
| time/                   |              |
|    fps                  | 604          |
|    iterations           | 449          |
|    time_elapsed         | 1521         |
|    total_timesteps      | 919552       |
| train/                  |              |
|    approx_kl            | 0.0050485083 |
|    clip_fraction        | 0.161        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.0423       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.9         |
|    n_updates            | 4480         |
|    policy_gradient_loss | -0.00249     |
|    value_loss           | 24.5         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.2       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 450         |
|    time_elapsed         | 1524        |
|    total_timesteps      | 921600      |
| train/                  |             |
|    approx_kl            | 0.022196796 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.0397      |
|    learning_rate        | 0.0003      |
|    loss                 | 12.8        |
|    n_updates            | 4490        |
|    policy_gradient_loss | 0.000933    |
|    value_loss           | 26.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23          |
| time/                   |              |
|    fps                  | 604          |
|    iterations           | 451          |
|    time_elapsed         | 1528         |
|    total_timesteps      | 923648       |
| train/                  |              |
|    approx_kl            | 0.0030947272 |
|    clip_fraction        | 0.00845      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.028        |
|    learning_rate        | 0.0003       |
|    loss                 | 12.2         |
|    n_updates            | 4500         |
|    policy_gradient_loss | -0.000313    |
|    value_loss           | 23.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.8        |
| time/                   |              |
|    fps                  | 604          |
|    iterations           | 452          |
|    time_elapsed         | 1531         |
|    total_timesteps      | 925696       |
| train/                  |              |
|    approx_kl            | 0.0056954515 |
|    clip_fraction        | 0.148        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.0307       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.7         |
|    n_updates            | 4510         |
|    policy_gradient_loss | 0.0016       |
|    value_loss           | 25.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.8       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 453         |
|    time_elapsed         | 1535        |
|    total_timesteps      | 927744      |
| train/                  |             |
|    approx_kl            | 0.005412916 |
|    clip_fraction        | 0.0334      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.0398      |
|    learning_rate        | 0.0003      |
|    loss                 | 10.3        |
|    n_updates            | 4520        |
|    policy_gradient_loss | -0.000236   |
|    value_loss           | 21.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.7       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 454         |
|    time_elapsed         | 1539        |
|    total_timesteps      | 929792      |
| train/                  |             |
|    approx_kl            | 0.011250574 |
|    clip_fraction        | 0.0497      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0298      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.3        |
|    n_updates            | 4530        |
|    policy_gradient_loss | -0.000193   |
|    value_loss           | 21.6        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23.1        |
| time/                   |              |
|    fps                  | 604          |
|    iterations           | 455          |
|    time_elapsed         | 1542         |
|    total_timesteps      | 931840       |
| train/                  |              |
|    approx_kl            | 0.0066042054 |
|    clip_fraction        | 0.0796       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.0469       |
|    learning_rate        | 0.0003       |
|    loss                 | 12           |
|    n_updates            | 4540         |
|    policy_gradient_loss | -0.000414    |
|    value_loss           | 23.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.2       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 456         |
|    time_elapsed         | 1545        |
|    total_timesteps      | 933888      |
| train/                  |             |
|    approx_kl            | 0.010200917 |
|    clip_fraction        | 0.0342      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0502      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.4        |
|    n_updates            | 4550        |
|    policy_gradient_loss | 9.4e-05     |
|    value_loss           | 22.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.3       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 457         |
|    time_elapsed         | 1549        |
|    total_timesteps      | 935936      |
| train/                  |             |
|    approx_kl            | 0.014465462 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.07        |
|    learning_rate        | 0.0003      |
|    loss                 | 11.6        |
|    n_updates            | 4560        |
|    policy_gradient_loss | -0.000332   |
|    value_loss           | 23.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.9       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 458         |
|    time_elapsed         | 1552        |
|    total_timesteps      | 937984      |
| train/                  |             |
|    approx_kl            | 0.015489262 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.0338      |
|    learning_rate        | 0.0003      |
|    loss                 | 12.2        |
|    n_updates            | 4570        |
|    policy_gradient_loss | 0.0021      |
|    value_loss           | 23.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.6       |
| time/                   |             |
|    fps                  | 604         |
|    iterations           | 459         |
|    time_elapsed         | 1555        |
|    total_timesteps      | 940032      |
| train/                  |             |
|    approx_kl            | 0.007119767 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.0331      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.4        |
|    n_updates            | 4580        |
|    policy_gradient_loss | 0.0104      |
|    value_loss           | 22.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.5       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 460         |
|    time_elapsed         | 1560        |
|    total_timesteps      | 942080      |
| train/                  |             |
|    approx_kl            | 0.004721473 |
|    clip_fraction        | 0.0566      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.04        |
|    learning_rate        | 0.0003      |
|    loss                 | 11.2        |
|    n_updates            | 4590        |
|    policy_gradient_loss | -0.000144   |
|    value_loss           | 22.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.5       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 461         |
|    time_elapsed         | 1563        |
|    total_timesteps      | 944128      |
| train/                  |             |
|    approx_kl            | 0.035036698 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.0536      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.4        |
|    n_updates            | 4600        |
|    policy_gradient_loss | 0.00874     |
|    value_loss           | 21.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23         |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 462         |
|    time_elapsed         | 1567        |
|    total_timesteps      | 946176      |
| train/                  |             |
|    approx_kl            | 0.011076596 |
|    clip_fraction        | 0.0469      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.996      |
|    explained_variance   | 0.0467      |
|    learning_rate        | 0.0003      |
|    loss                 | 10.5        |
|    n_updates            | 4610        |
|    policy_gradient_loss | 0.0016      |
|    value_loss           | 22.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.4       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 463         |
|    time_elapsed         | 1571        |
|    total_timesteps      | 948224      |
| train/                  |             |
|    approx_kl            | 0.006198195 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.982      |
|    explained_variance   | 0.0258      |
|    learning_rate        | 0.0003      |
|    loss                 | 12.8        |
|    n_updates            | 4620        |
|    policy_gradient_loss | -0.000948   |
|    value_loss           | 25.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.2       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 464         |
|    time_elapsed         | 1574        |
|    total_timesteps      | 950272      |
| train/                  |             |
|    approx_kl            | 0.002589822 |
|    clip_fraction        | 0.0592      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.98       |
|    explained_variance   | 0.0689      |
|    learning_rate        | 0.0003      |
|    loss                 | 12.1        |
|    n_updates            | 4630        |
|    policy_gradient_loss | -0.000215   |
|    value_loss           | 24.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.8       |
| time/                   |             |
|    fps                  | 602         |
|    iterations           | 465         |
|    time_elapsed         | 1579        |
|    total_timesteps      | 952320      |
| train/                  |             |
|    approx_kl            | 0.031046037 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | 0.0347      |
|    learning_rate        | 0.0003      |
|    loss                 | 13.1        |
|    n_updates            | 4640        |
|    policy_gradient_loss | 0.00521     |
|    value_loss           | 26.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.9        |
| time/                   |              |
|    fps                  | 602          |
|    iterations           | 466          |
|    time_elapsed         | 1583         |
|    total_timesteps      | 954368       |
| train/                  |              |
|    approx_kl            | 0.0016297641 |
|    clip_fraction        | 0.139        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.02        |
|    explained_variance   | 0.0439       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.5         |
|    n_updates            | 4650         |
|    policy_gradient_loss | 0.00468      |
|    value_loss           | 23.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.5        |
| time/                   |              |
|    fps                  | 602          |
|    iterations           | 467          |
|    time_elapsed         | 1586         |
|    total_timesteps      | 956416       |
| train/                  |              |
|    approx_kl            | 0.0010666702 |
|    clip_fraction        | 0.105        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.0448       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.3         |
|    n_updates            | 4660         |
|    policy_gradient_loss | 0.002        |
|    value_loss           | 22.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.6       |
| time/                   |             |
|    fps                  | 602         |
|    iterations           | 468         |
|    time_elapsed         | 1590        |
|    total_timesteps      | 958464      |
| train/                  |             |
|    approx_kl            | 0.006422489 |
|    clip_fraction        | 0.0613      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.0437      |
|    learning_rate        | 0.0003      |
|    loss                 | 13.5        |
|    n_updates            | 4670        |
|    policy_gradient_loss | -0.00175    |
|    value_loss           | 25.8        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.4        |
| time/                   |              |
|    fps                  | 602          |
|    iterations           | 469          |
|    time_elapsed         | 1593         |
|    total_timesteps      | 960512       |
| train/                  |              |
|    approx_kl            | 0.0036075618 |
|    clip_fraction        | 0.0103       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.0358       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.1         |
|    n_updates            | 4680         |
|    policy_gradient_loss | 0.000225     |
|    value_loss           | 24           |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.1       |
| time/                   |             |
|    fps                  | 602         |
|    iterations           | 470         |
|    time_elapsed         | 1597        |
|    total_timesteps      | 962560      |
| train/                  |             |
|    approx_kl            | 0.021301333 |
|    clip_fraction        | 0.276       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.0564      |
|    learning_rate        | 0.0003      |
|    loss                 | 11.5        |
|    n_updates            | 4690        |
|    policy_gradient_loss | 0.00765     |
|    value_loss           | 23          |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -21.8      |
| time/                   |            |
|    fps                  | 602        |
|    iterations           | 471        |
|    time_elapsed         | 1600       |
|    total_timesteps      | 964608     |
| train/                  |            |
|    approx_kl            | 0.01188498 |
|    clip_fraction        | 0.174      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.03      |
|    explained_variance   | 0.0233     |
|    learning_rate        | 0.0003     |
|    loss                 | 11.3       |
|    n_updates            | 4700       |
|    policy_gradient_loss | 0.00282    |
|    value_loss           | 24.8       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.1        |
| time/                   |              |
|    fps                  | 602          |
|    iterations           | 472          |
|    time_elapsed         | 1603         |
|    total_timesteps      | 966656       |
| train/                  |              |
|    approx_kl            | 0.0011219472 |
|    clip_fraction        | 0.364        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.01        |
|    explained_variance   | 0.0295       |
|    learning_rate        | 0.0003       |
|    loss                 | 12.5         |
|    n_updates            | 4710         |
|    policy_gradient_loss | 0.0172       |
|    value_loss           | 24.4         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 50         |
|    ep_rew_mean          | -22.5      |
| time/                   |            |
|    fps                  | 602        |
|    iterations           | 473        |
|    time_elapsed         | 1607       |
|    total_timesteps      | 968704     |
| train/                  |            |
|    approx_kl            | 0.01532373 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.03      |
|    explained_variance   | 0.0358     |
|    learning_rate        | 0.0003     |
|    loss                 | 12.5       |
|    n_updates            | 4720       |
|    policy_gradient_loss | 0.00306    |
|    value_loss           | 25.2       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.1       |
| time/                   |             |
|    fps                  | 602         |
|    iterations           | 474         |
|    time_elapsed         | 1610        |
|    total_timesteps      | 970752      |
| train/                  |             |
|    approx_kl            | 0.010001995 |
|    clip_fraction        | 0.0818      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.024       |
|    learning_rate        | 0.0003      |
|    loss                 | 12.1        |
|    n_updates            | 4730        |
|    policy_gradient_loss | -0.0015     |
|    value_loss           | 23.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23.2       |
| time/                   |             |
|    fps                  | 602         |
|    iterations           | 475         |
|    time_elapsed         | 1613        |
|    total_timesteps      | 972800      |
| train/                  |             |
|    approx_kl            | 0.011407463 |
|    clip_fraction        | 0.0929      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.05       |
|    explained_variance   | 0.0179      |
|    learning_rate        | 0.0003      |
|    loss                 | 14.1        |
|    n_updates            | 4740        |
|    policy_gradient_loss | -0.00223    |
|    value_loss           | 28          |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.6        |
| time/                   |              |
|    fps                  | 602          |
|    iterations           | 476          |
|    time_elapsed         | 1616         |
|    total_timesteps      | 974848       |
| train/                  |              |
|    approx_kl            | 0.0029409095 |
|    clip_fraction        | 0.0528       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.0364       |
|    learning_rate        | 0.0003       |
|    loss                 | 12           |
|    n_updates            | 4750         |
|    policy_gradient_loss | -9.62e-05    |
|    value_loss           | 26.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.3        |
| time/                   |              |
|    fps                  | 602          |
|    iterations           | 477          |
|    time_elapsed         | 1620         |
|    total_timesteps      | 976896       |
| train/                  |              |
|    approx_kl            | 0.0060246456 |
|    clip_fraction        | 0.0807       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.0265       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.6         |
|    n_updates            | 4760         |
|    policy_gradient_loss | -0.00327     |
|    value_loss           | 24.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.6        |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 478          |
|    time_elapsed         | 1623         |
|    total_timesteps      | 978944       |
| train/                  |              |
|    approx_kl            | 0.0015277574 |
|    clip_fraction        | 0.0694       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.0332       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.9         |
|    n_updates            | 4770         |
|    policy_gradient_loss | -0.000692    |
|    value_loss           | 21.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.9        |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 479          |
|    time_elapsed         | 1626         |
|    total_timesteps      | 980992       |
| train/                  |              |
|    approx_kl            | 0.0062696068 |
|    clip_fraction        | 0.0163       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.02        |
|    explained_variance   | 0.0452       |
|    learning_rate        | 0.0003       |
|    loss                 | 9.06         |
|    n_updates            | 4780         |
|    policy_gradient_loss | -0.00116     |
|    value_loss           | 18.6         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -23         |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 480         |
|    time_elapsed         | 1629        |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.007589802 |
|    clip_fraction        | 0.0495      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.0395      |
|    learning_rate        | 0.0003      |
|    loss                 | 10.6        |
|    n_updates            | 4790        |
|    policy_gradient_loss | -0.00132    |
|    value_loss           | 21.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.7       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 481         |
|    time_elapsed         | 1633        |
|    total_timesteps      | 985088      |
| train/                  |             |
|    approx_kl            | 0.009209397 |
|    clip_fraction        | 0.0375      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.04        |
|    learning_rate        | 0.0003      |
|    loss                 | 12.4        |
|    n_updates            | 4800        |
|    policy_gradient_loss | -0.00122    |
|    value_loss           | 24.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.3        |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 482          |
|    time_elapsed         | 1636         |
|    total_timesteps      | 987136       |
| train/                  |              |
|    approx_kl            | 0.0029751176 |
|    clip_fraction        | 0.049        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.0339       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.2         |
|    n_updates            | 4810         |
|    policy_gradient_loss | 0.000164     |
|    value_loss           | 22.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 50          |
|    ep_rew_mean          | -22.1       |
| time/                   |             |
|    fps                  | 603         |
|    iterations           | 483         |
|    time_elapsed         | 1639        |
|    total_timesteps      | 989184      |
| train/                  |             |
|    approx_kl            | 0.040234603 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.0326      |
|    learning_rate        | 0.0003      |
|    loss                 | 12          |
|    n_updates            | 4820        |
|    policy_gradient_loss | 0.00338     |
|    value_loss           | 23.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -22.2        |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 484          |
|    time_elapsed         | 1643         |
|    total_timesteps      | 991232       |
| train/                  |              |
|    approx_kl            | 0.0069781668 |
|    clip_fraction        | 0.0703       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.0287       |
|    learning_rate        | 0.0003       |
|    loss                 | 10.7         |
|    n_updates            | 4830         |
|    policy_gradient_loss | -0.00193     |
|    value_loss           | 21.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 50           |
|    ep_rew_mean          | -23.2        |
| time/                   |              |
|    fps                  | 603          |
|    iterations           | 485          |
|    time_elapsed         | 1646         |
|    total_timesteps      | 993280       |
| train/                  |              |
|    approx_kl            | 0.0074635427 |
|    clip_fraction        | 0.0662       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.0201       |
|    learning_rate        | 0.0003       |
|    loss                 | 11.1         |
|    n_updates            | 4840         |
